Year ,Month ,New,Used,Total Sales New,Total Sales Used
2002,1,31106,49927,755015820,386481929
2002,2,27520,50982,664454223,361353242
2002,3,34225,58794,805666244,419385387
2002,4,36452,59817,846368297,433061150
2002,5,37359,60577,855005784,442569410
2002,6,36348,55415,830251613,414731166
2002,7,30367,55235,700530891,384673023
2002,8,38965,60310,934484212,455453720
2002,9,39740,55485,950502055,432112270
2002,10,35276,58020,865326154,456738532
2002,11,27812,49066,691740703,379196575
2002,12,26994,42461,673208880,374453368
2003,1,34707,49481,860730784,392438833
2003,2,24585,41048,615749948,323297077
2003,3,32705,56513,791728069,413899574
2003,4,37682,61856,909778220,458127973
2003,5,38472,61742,917339608,469734647
2003,6,38573,59904,941898387,455117890
2003,7,41088,62811,990041754,489374362
2003,8,39556,60829,985375378,460316726
2003,9,40464,58279,1012404987,446119525
2003,10,38597,62417,980365678,470520906
2003,11,30155,50655,779674957,385164663
2003,12,31668,49823,838060569,401959321
2004,1,33361,46427,891062280,367825717
2004,2,27780,50842,721703209,377496734
2004,3,39340,68766,975737236,502144505
2004,4,37478,64059,919596999,472014215
2004,5,37819,58589,916954404,431929913
2004,6,42758,65073,1038212129,486125865
2004,7,38329,60994,958264422,474975823
2004,8,37175,61106,950681015,470372767
2004,9,38712,60238,1004251102,478484210
2004,10,34839,57046,913403542,452470718
2004,11,29859,54654,821585825,439882689
2004,12,31058,51883,861503861,431825791
2005,1,33637,49534,933312807,407244081
2005,2,26707,51666,705851980,395540384
2005,3,35277,65088,920888098,504245180
2005,4,36609,61977,925591302,469034149
2005,5,36191,60765,904011185,471821748
2005,6,40674,64021,1029116197,513909527
2005,7,38189,58605,1012715139,480607370
2005,8,45547,69589,1207716905,557209927
2005,9,38909,62941,1001701319,502113995
2005,10,31392,57367,804224324,472018026
2005,11,28915,53053,763610056,438437059
2005,12,29787,49229,797994610,427622069
2006,1,32331,50745,889192843,436119403
2006,2,25688,51372,690139661,410661975
2006,3,34167,66205,900277823,524850834
